Model,Scenario,Region,Variable,Unit,Year,Value
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Nuclear,EJ/yr,2020,0.1001962705
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Nuclear,EJ/yr,2020,0.3834357447
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Nuclear,EJ/yr,2020,7.622335891
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Oil,EJ/yr,2020,1.137887923
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Oil,EJ/yr,2020,0.2083906778
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Oil,EJ/yr,2020,0.6928472927
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Oil,EJ/yr,2020,0.08719387317
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Oil,EJ/yr,2020,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Oil,EJ/yr,2020,0.149456079
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Solar,EJ/yr,2020,1.505883323
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Solar,EJ/yr,2020,0.7263031184
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Solar,EJ/yr,2020,0.009272759757
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Solar,EJ/yr,2020,0.0004415599843
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Solar,EJ/yr,2020,0.009108752036
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Solar,EJ/yr,2020,0.7607571329
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Wind,EJ/yr,2020,8.933960334
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Wind,EJ/yr,2020,2.903845603
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Wind,EJ/yr,2020,0.4307215934
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Wind,EJ/yr,2020,0.2900975191
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Wind,EJ/yr,2020,0.0374695198
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Wind,EJ/yr,2020,5.271826098
