,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
40,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2020,54962.902071515404,4038.7349163677004,132964.594898736,54962.902071515404,4038.7349163677004,132964.594898736,28.631547085799998,2.1038777897,69.2645751245,Fossils
41,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2030,73239.4505622914,5334.7576378678,194589.24729916398,73239.4505622914,5334.7576378678,194589.24729916398,26.8115844517,1.9529543687,71.2354611796,Fossils
42,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2040,89683.0313851609,6280.703942699,231364.147522095,89683.0313851609,6280.703942699,231364.147522095,27.3985309789,1.9187806086,70.6826884125,Fossils
43,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2050,192457.250176798,14003.044639944199,440184.03002060397,192457.250176798,14003.044639944199,440184.03002060397,29.7624587095,2.1654940903999997,68.0720472002,Fossils
44,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2060,301223.10890989896,21999.9058808266,891621.562868106,301223.10890989896,21999.9058808266,891621.562868106,24.7951972169,1.8109234947,73.3938792884,Fossils
45,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2070,283425.523822587,19759.0108450986,900589.8065929441,283425.523822587,19759.0108450986,900589.8065929441,23.5447387528,1.6414214997,74.8138397476,Fossils
46,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2080,530149.804476524,38631.7986984632,1293266.86144834,530149.804476524,38631.7986984632,1293266.86144834,28.47132148,2.0746935127,69.45398500729999,Fossils
47,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2090,861322.8484038991,65377.4927474267,1772647.44503796,861322.8484038991,65377.4927474267,1772647.44503796,31.908554088899997,2.4219736738999997,65.6694722372,Fossils
48,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2100,761872.412771265,57709.5449026025,1352042.48211714,761872.412771265,57709.5449026025,1352042.48211714,35.083064954099996,2.6574367025,62.259498343400004,Fossils
49,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2110,623067.296920588,50486.470438811506,1415902.65529297,623067.296920588,50486.470438811506,1415902.65529297,29.819588011799997,2.4162490249,67.7641629633,Fossils
50,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2020,49686.7430644359,2435.6040911352998,0.0,49686.7430644359,2435.6040911352998,0.0,95.32714042239999,4.6728595776,0.0,Renewables
51,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2030,49952.4450469695,2396.6577880264003,0.0,49952.4450469695,2396.6577880264003,0.0,95.4217786777,4.5782213223,0.0,Renewables
52,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2040,78897.8244268804,3057.5909183822996,0.0,78897.8244268804,3057.5909183822996,0.0,96.2692020954,3.7307979045999997,0.0,Renewables
53,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2050,195704.99077327602,7314.8192378263,0.0,195704.99077327602,7314.8192378263,0.0,96.3969923736,3.6030076263999997,0.0,Renewables
54,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2060,308267.32680323604,10489.120997678101,0.0,308267.32680323604,10489.120997678101,0.0,96.70936193760001,3.2906380624000002,0.0,Renewables
55,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2070,588432.5499159379,20314.3037573771,0.0,588432.5499159379,20314.3037573771,0.0,96.6629308004,3.3370691995999997,0.0,Renewables
56,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2080,764185.353689732,22560.5403229882,0.0,764185.353689732,22560.5403229882,0.0,97.13242350620001,2.8675764938,0.0,Renewables
57,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2090,1119964.48394608,30382.1032097982,0.0,1119964.48394608,30382.1032097982,0.0,97.3588739647,2.6411260353,0.0,Renewables
58,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2100,1335113.30081422,32641.4648494952,0.0,1335113.30081422,32641.4648494952,0.0,97.6135001925,2.3864998075,0.0,Renewables
59,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2110,1131331.28606167,29709.7010158308,5641.1835867122,1131331.28606167,29709.7010158308,5641.1835867122,96.9699644435,2.5465119603999997,0.4835235961,Renewables
60,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2020,296226.43025140103,18006.4178396893,500541.93216144,296226.43025140103,18006.4178396893,500541.93216144,36.3568482274,2.2099871371,61.4331646355,Fossils
61,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2030,133130.94241179302,9140.405450604001,382224.116254926,133130.94241179302,9140.405450604001,382224.116254926,25.3826680152,1.7427043846999999,72.8746276001,Fossils
62,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2040,152483.007374832,10655.8981469653,529389.477417873,152483.007374832,10655.8981469653,529389.477417873,22.0183043946,1.5386947899,76.4430008155,Fossils
63,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2050,335725.414855017,22088.5539471856,1148521.17967687,335725.414855017,22088.5539471856,1148521.17967687,22.2875643043,1.4663771186,76.2460585771,Fossils
