,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
138,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2100,968144.073638281,40870.803863617795,1304555.93981332,968144.073638281,40870.803863617795,1304555.93981332,41.8463124791,1.7665680928,56.38711942810001,Aggregate
139,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2110,664566.6903493761,28101.105430739102,762070.562033277,664566.6903493761,28101.105430739102,762070.562033277,45.6829014496,1.9316948151,52.385403735299995,Aggregate
140,CD_Links_SSP2_v2,NPi_v3,Central Asia,2020,102497.801594655,4981.2158514517,88921.79378118279,102497.801594655,4981.2158514517,88921.79378118279,52.1880744556,2.5362501409,45.2756754035,Aggregate
141,CD_Links_SSP2_v2,NPi_v3,Central Asia,2030,58301.3371816089,3730.4063070428997,61641.4721100233,58301.3371816089,3730.4063070428997,61641.4721100233,47.1414419843,3.0163413225999998,49.842216693100006,Aggregate
142,CD_Links_SSP2_v2,NPi_v3,Central Asia,2040,84870.4189794613,5151.1027127338,116272.490591955,84870.4189794613,5151.1027127338,116272.490591955,41.1405149571,2.4969715096000002,56.362513533299996,Aggregate
143,CD_Links_SSP2_v2,NPi_v3,Central Asia,2050,109579.451462305,6562.7899165625,118995.90922044401,109579.451462305,6562.7899165625,118995.90922044401,46.6021575755,2.7910357804,50.6068066442,Aggregate
144,CD_Links_SSP2_v2,NPi_v3,Central Asia,2060,116789.024345554,6835.781546071899,150904.29112665198,116789.024345554,6835.781546071899,150904.29112665198,42.5415832471,2.4900025609,54.968414192,Aggregate
145,CD_Links_SSP2_v2,NPi_v3,Central Asia,2070,187184.53420718,11359.433895356398,343862.80740671104,187184.53420718,11359.433895356398,343862.80740671104,34.509991884099996,2.0942647488999997,63.39574336689999,Aggregate
146,CD_Links_SSP2_v2,NPi_v3,Central Asia,2080,181454.442081518,9106.7694340343,188025.3457304,181454.442081518,9106.7694340343,188025.3457304,47.929446677,2.4054656088,49.6650877142,Aggregate
147,CD_Links_SSP2_v2,NPi_v3,Central Asia,2090,206927.38446766898,9991.094424423001,110813.739124512,206927.38446766898,9991.094424423001,110813.739124512,63.1391645655,3.0485542389,33.8122811956,Aggregate
148,CD_Links_SSP2_v2,NPi_v3,Central Asia,2100,196220.391687915,9920.0291142714,381914.46865004796,196220.391687915,9920.0291142714,381914.46865004796,33.3677000578,1.6869223081,64.945377634,Aggregate
149,CD_Links_SSP2_v2,NPi_v3,Central Asia,2110,104813.29179120199,5489.2297479324,80781.7175471967,104813.29179120199,5489.2297479324,80781.7175471967,54.851877000600005,2.872675305,42.2754476944,Aggregate
170,CD_Links_SSP2_v2,NPi_v3,World,2020,1993243.35089494,108901.98780852699,1476175.69226557,1993243.35089494,108901.98780852699,1476175.69226557,55.703312633100005,3.0433822697000004,41.2533050973,Aggregate
171,CD_Links_SSP2_v2,NPi_v3,World,2030,1156390.12784872,69636.7413666698,1269005.24642431,1156390.12784872,69636.7413666698,1269005.24642431,46.3477051297,2.7910158322000003,50.861279038,Aggregate
172,CD_Links_SSP2_v2,NPi_v3,World,2040,1482192.87388372,81986.02776430019,1693830.01470861,1482192.87388372,81986.02776430019,1693830.01470861,45.4938249691,2.5164457762,51.9897292547,Aggregate
173,CD_Links_SSP2_v2,NPi_v3,World,2050,2597231.26368463,143811.56327464,3081105.56760459,2597231.26368463,143811.56327464,3081105.56760459,44.609499581099996,2.4700772555,52.9204231634,Aggregate
174,CD_Links_SSP2_v2,NPi_v3,World,2060,3462583.99760016,172773.532519621,3538510.28804608,3462583.99760016,172773.532519621,3538510.28804608,48.2666266701,2.4083735148,49.3249998151,Aggregate
175,CD_Links_SSP2_v2,NPi_v3,World,2070,4193528.31930118,188646.741302595,3286362.92811153,4193528.31930118,188646.741302595,3286362.92811153,54.6848476916,2.4600092166,42.855143091799995,Aggregate
176,CD_Links_SSP2_v2,NPi_v3,World,2080,5212112.35148995,243657.08798243,4729377.07806276,5212112.35148995,243657.08798243,4729377.07806276,51.1736610025,2.3922786733000003,46.434060324200004,Aggregate
177,CD_Links_SSP2_v2,NPi_v3,World,2090,6047340.33137227,265339.260330952,5510349.56009085,6047340.33137227,265339.260330952,5510349.56009085,51.1488236537,2.2442578541,46.6069184922,Aggregate
178,CD_Links_SSP2_v2,NPi_v3,World,2100,5454821.00040815,224176.725106803,4920700.31695854,5454821.00040815,224176.725106803,4920700.31695854,51.462041452,2.1149350124,46.4230235356,Aggregate
179,CD_Links_SSP2_v2,NPi_v3,World,2110,4076951.17311953,189837.14644774198,3591850.84746563,4076951.17311953,189837.14644774198,3591850.84746563,51.8785897465,2.4156491016999997,45.705761151800004,Aggregate
95,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
96,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2030,1876024.89682611,73044.3011940861,1127196.61829475,1876024.89682611,73044.3011940861,1127196.61829475,60.9838358856,2.3744469937,36.6417171207,Aggregate
97,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2040,1761357.39504295,59332.57520360599,596693.6949996679,1761357.39504295,59332.57520360599,596693.6949996679,72.86213687819999,2.4544128454,24.6834502764,Aggregate
98,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2050,2003916.48240899,54323.151627560306,789635.694963358,2003916.48240899,54323.151627560306,789635.694963358,70.36531627640001,1.9074975324,27.727186191100003,Aggregate
99,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2060,2250823.07936819,64988.8795112752,68370.8401881099,2250823.07936819,64988.8795112752,68370.8401881099,94.40648092290002,2.7258345936,2.8676844835,Aggregate
100,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2070,3571612.84609181,103696.937245248,74152.73016739059,3571612.84609181,103696.937245248,74152.73016739059,95.25666234100001,2.7656480594999997,1.9776895995,Aggregate
101,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2080,3360345.4594532996,100883.45398613,550626.916922517,3360345.4594532996,100883.45398613,550626.916922517,83.7603742892,2.5146330838,13.724992627,Aggregate
102,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2090,4800748.30531967,154011.668381487,186132.165688785,4800748.30531967,154011.668381487,186132.165688785,93.3835640809,2.995815983,3.620619936,Aggregate
103,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2100,4769017.05985247,134050.485676309,205034.32218374,4769017.05985247,134050.485676309,205034.32218374,93.3618236942,2.6242719732,4.0139043326,Aggregate
104,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2110,3625270.55331269,101876.388195805,0.0,3625270.55331269,101876.388195805,0.0,97.26663880459999,2.7333611954,0.0,Aggregate
105,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
106,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2030,341718.759964382,17398.871509636698,77056.5327992204,341718.759964382,17398.871509636698,77056.5327992204,78.344566908,3.9889734273000004,17.6664596647,Aggregate
107,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2040,423665.565053677,16596.403829305902,162105.354738951,423665.565053677,16596.403829305902,162105.354738951,70.3334242147,2.7551965683999997,26.911379216999997,Aggregate
108,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2050,437043.80267275794,16564.4972030079,275641.841630322,437043.80267275794,16564.4972030079,275641.841630322,59.930574956099996,2.2714424393,37.7979826046,Aggregate
109,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2060,547282.0548854261,22321.8628520436,171831.045457996,547282.0548854261,22321.8628520436,171831.045457996,73.81389900020001,3.0106299217,23.1754710781,Aggregate
110,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2070,745084.1921999521,25913.7522386282,0.0,745084.1921999521,25913.7522386282,0.0,96.63893368,3.36106632,0.0,Aggregate
111,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2080,950637.685026755,31887.5360427818,348227.91195145604,950637.685026755,31887.5360427818,348227.91195145604,71.4360658967,2.3962022144999997,26.167731888899997,Aggregate
112,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2090,1768193.07000593,58356.8473825988,1370.6543935826,1768193.07000593,58356.8473825988,1370.6543935826,96.7324892176,3.1925264305,0.07498435190000001,Aggregate
113,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2100,1102025.83482889,38820.066298775404,0.0,1102025.83482889,38820.066298775404,0.0,96.5972559256,3.4027440744,0.0,Aggregate
114,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2110,930570.8270538391,33434.9022786153,0.0,930570.8270538391,33434.9022786153,0.0,96.5316697545,3.4683302455000002,0.0,Aggregate
115,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
116,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2030,350123.38317950396,17961.1932605561,417044.97101336706,350123.38317950396,17961.1932605561,417044.97101336706,44.594345521099996,2.2876725655000003,53.1179819134,Aggregate
117,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2040,500260.071175723,24298.563473256803,566543.977523734,500260.071175723,24298.563473256803,566543.977523734,45.849039823999995,2.2269732656,51.9239869104,Aggregate
118,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2050,783942.221290638,37004.1428445579,2833906.77672494,783942.221290638,37004.1428445579,2833906.77672494,21.4493494287,1.01246593,77.5381846412,Aggregate
119,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2060,1252036.05902901,52007.8571228995,1269881.83158102,1252036.05902901,52007.8571228995,1269881.83158102,48.643052742799995,2.0205655571000003,49.33638170020001,Aggregate
120,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2070,1999919.91343421,78496.5514557663,4.4768746019,1999919.91343421,78496.5514557663,4.4768746019,96.22304477629999,3.7767398258,0.00021539790000000002,Aggregate
121,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2080,3181674.75381213,121078.231199948,0.0,3181674.75381213,121078.231199948,0.0,96.3340209895,3.6659790105,0.0,Aggregate
122,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2090,4323365.66316285,159916.17162326,0.0,4323365.66316285,159916.17162326,0.0,96.43305557139999,3.5669444286000003,0.0,Aggregate
123,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2100,5275916.98242279,189513.580264289,0.0,5275916.98242279,189513.580264289,0.0,96.5325041076,3.4674958924,0.0,Aggregate
124,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2110,4830414.79614928,180667.546591678,0.0,4830414.79614928,180667.546591678,0.0,96.39464023469999,3.6053597653,0.0,Aggregate
125,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
126,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2030,728297.500867095,37323.894684122795,1038522.06855695,728297.500867095,37323.894684122795,1038522.06855695,40.3680480713,2.0687875119999997,57.5631644167,Aggregate
127,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2040,1200169.90101421,59358.7583929944,1039279.17971316,1200169.90101421,59358.7583929944,1039279.17971316,52.2083612466,2.5821539923,45.20948476109999,Aggregate
128,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2050,1694706.16249623,64227.84724241179,2401996.2684546,1694706.16249623,64227.84724241179,2401996.2684546,40.7290208966,1.5435934502000002,57.727385653199995,Aggregate
129,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2060,2088439.92633592,73055.1726316235,348223.56060272,2088439.92633592,73055.1726316235,348223.56060272,83.21410522939999,2.9108909220999997,13.875003848499999,Aggregate
130,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2070,2857704.00547354,95383.0001325906,455468.157024025,2857704.00547354,95383.0001325906,455468.157024025,83.8391596769,2.7983411029000003,13.3624992201,Aggregate
131,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2080,2442898.90532605,77819.0655061082,813101.6856365041,2442898.90532605,77819.0655061082,813101.6856365041,73.2762763752,2.334231408,24.389492216799997,Aggregate
132,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2090,3070179.95440379,97675.2022578608,371446.51310344704,3070179.95440379,97675.2022578608,371446.51310344704,86.7453594202,2.7597309122,10.4949096675,Aggregate
133,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2100,2839044.21503477,95296.1650980678,389245.304850762,2839044.21503477,95296.1650980678,389245.304850762,85.4211229716,2.867269694,11.7116073345,Aggregate
134,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2110,1876520.29423368,57626.055645621505,60737.062543614804,1876520.29423368,57626.055645621505,60737.062543614804,94.0666648761,2.8886929074000003,3.0446422164999998,Aggregate
135,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
136,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2030,422918.329303363,23368.815959518703,268614.48791330896,422918.329303363,23368.815959518703,268614.48791330896,59.1575553443,3.268815579,37.573629076799996,Aggregate
137,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2040,367557.14468739205,18265.4234792386,137295.256979272,367557.14468739205,18265.4234792386,137295.256979272,70.2627834532,3.4916461648,26.245570381999997,Aggregate
138,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2050,252431.67806142,10723.5053617715,73058.8762360464,252431.67806142,10723.5053617715,73058.8762360464,75.0806430633,3.1894874868,21.729869449899997,Aggregate
139,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2060,508331.11402976897,22937.314378277002,0.37357398350000004,508331.11402976897,22937.314378277002,0.37357398350000004,95.68247036780001,4.3174593149,7.03173199965677e-05,Aggregate
140,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2070,701621.406318435,28273.5247616023,6102.3748600188,701621.406318435,28273.5247616023,6102.3748600188,95.329344368,3.8415255781,0.8291300540000001,Aggregate
141,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2080,563765.774929283,19538.797299308102,38020.8977574615,563765.774929283,19538.797299308102,38020.8977574615,90.7359833393,3.1446960157,6.119320645,Aggregate
142,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2090,809124.865967011,28216.9847649756,0.0,809124.865967011,28216.9847649756,0.0,96.63017144790001,3.3698285521,0.0,Aggregate
143,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2100,780257.3598645991,29897.1097655244,0.0,780257.3598645991,29897.1097655244,0.0,96.30970254610001,3.6902974539,0.0,Aggregate
144,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2110,356369.20599389705,12299.184232258998,0.0,356369.20599389705,12299.184232258998,0.0,96.66388967479999,3.3361103252,0.0,Aggregate
164,CD_Links_SSP2_v2,NPi2020_400_v3,World,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
