Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,10.7015,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,14.0304,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,1.6877,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,0.1766,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,18.3399,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,8.0645,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,22.0194,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,19.0973,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,2.4085,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,0.0002,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,6.4333,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,3.3199,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,0.4378,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,0.2741,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2010,55.184,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,39.219,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,43.6191,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,8.2593,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.4208,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,52.857,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,37.3375,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,51.0946,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,33.4642,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,7.3143,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.0005,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,14.7519,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,31.8985,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,1.6627,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,117.0321,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,21.3198,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,15.0754,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,3.5797,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,0.1665,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,21.4161,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,25.1423,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,15.9577,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,6.553,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,1.9045,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,0.0001,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,5.9283,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,12.9657,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,0.5864,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2020,33.5058,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,2.6268,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,6.6324,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.2575,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.0525,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,8.1323,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,2.8265,Industry,Solids
